sample-id,lepA_haplotype,soil-collection-id,location,latitude,longitude,soil-collection-date,dicty-pcr,dicty-sequence,dicty-species-id,burkholderia-sequence-id
THA226,Hap14,mm2d-1,mt_magazine,35.16762346,-93.64491324,12/26/17,1,yes,heterostelium_pallidum,paraburkholderia_agricolaris
THA296,Hap20,mm9b-3,mt_magazine,35.16762346,-93.64491324,12/26/17,1,yes,dictyostelium_purpureum,paraburkholderia_agricolaris
THA501,Hap15,lbl_f1-pa1,land_between_the_lakes_ky,36.7768,-88.0538,12/1/19,1,yes,heterostelium_pallidum,paraburkholderia_agricolaris
THA503,Hap1,lbl_f1-vio1,land_between_the_lakes_ky,36.7768,-88.0538,12/1/19,1,no,polysphondylium_violaceum,paraburkholderia_agricolaris
THA504,Hap1,lbl_f1-vio2,land_between_the_lakes_ky,36.7768,-88.0538,12/1/19,1,no,polysphondylium_violaceum,paraburkholderia_agricolaris
THA513,Hap1,lbl_f3-pa1,land_between_the_lakes_ky,36.7768,-88.0538,12/1/19,1,no,heterostelium_pallidum,paraburkholderia_agricolaris
THA628,Hap19,bpa4,little_rock,34.79640027,-92.31343666,2/19/19,1,no,heterostelium_pallidum,paraburkholderia_agricolaris
THA635,Hap16,trc5,little_rock,34.79640027,-92.31343666,2/19/19,1,no,polysphondylium_violaceum,paraburkholderia_agricolaris
THA641,Hap17,tcr2,little_rock,34.79640027,-92.31343666,2/19/19,1,no,polysphondylium_violaceum,paraburkholderia_agricolaris
THA842,Hap11,jf20-2b,jenkins_ferry_state_park,34.24754049,-92.5823571,2/7/20,1,yes,dictyostelium_citrinum,paraburkholderia_agricolaris
THA844,Hap11,jf22-2f,jenkins_ferry_state_park,34.24754049,-92.5823571,2/7/20,1,yes,dictyostelium_citrinum,paraburkholderia_agricolaris
THA845,Hap11,jf23-2f,jenkins_ferry_state_park,34.24754049,-92.5823571,2/7/20,1,no,dictyostelium_purpureum,paraburkholderia_agricolaris
THA1037,Hap7,s_n2__va1_e_3,mountain_lake_va,37.37576692,-80.52266117,5/10/19,1,no,dictyostelium_discoideum,paraburkholderia_agricolaris
THA1038,Hap7,s_n2__va1_e_4,mountain_lake_va,37.37576692,-80.52266117,5/10/19,1,no,dictyostelium_discoideum,paraburkholderia_agricolaris
THA1046,Hap5,s_n5__va1_b_1,mountain_lake_va,37.37576692,-80.52266117,5/10/19,1,no,dictyostelium_discoideum,paraburkholderia_agricolaris
THA1096,Hap4,bsn13__va1_b_1,mountain_lake_va,37.37576692,-80.52266117,5/10/19,1,no,dictyostelium_discoideum,paraburkholderia_agricolaris
THA1099,Hap3,bsn13__va1_f_1,mountain_lake_va,37.37576692,-80.52266117,5/10/19,1,no,dictyostelium_discoideum,paraburkholderia_agricolaris
THA1103,Hap3,bsn13__va1_i_1,mountain_lake_va,37.37576692,-80.52266117,5/10/19,1,no,dictyostelium_discoideum,paraburkholderia_agricolaris
THA1125,Hap3,s_n23__va1_d_2,mountain_lake_va,37.37576692,-80.52266117,5/10/19,1,no,dictyostelium_discoideum,paraburkholderia_agricolaris
THA1126,Hap4,s_n23__va1_c_1,mountain_lake_va,37.37576692,-80.52266117,5/10/19,1,no,dictyostelium_discoideum,paraburkholderia_agricolaris
THA1127,Hap1,s_n23__va1_c_2,mountain_lake_va,37.37576692,-80.52266117,5/10/19,1,no,dictyostelium_discoideum,paraburkholderia_agricolaris
THA1131,Hap3,s_n23__va1_a_3,mountain_lake_va,37.37576692,-80.52266117,5/10/19,1,no,dictyostelium_discoideum,paraburkholderia_agricolaris
THA1153,Hap4,bs_n13__va1_i_4,mountain_lake_va,37.37576692,-80.52266117,5/10/19,1,yes,dictyostelium_giganteum,paraburkholderia_agricolaris
THA1168,Hap6,s_n10r__va1_b_2,mountain_lake_va,37.37576692,-80.52266117,5/10/19,1,no,dictyostelium_discoideum,paraburkholderia_agricolaris
THA1170,Hap9,s_n10r__va1_c_1,mountain_lake_va,37.37576692,-80.52266117,5/10/19,1,no,dictyostelium_discoideum,paraburkholderia_agricolaris
THA1171,Hap6,s_n10r__va1_c_2,mountain_lake_va,37.37576692,-80.52266117,5/10/19,1,no,dictyostelium_discoideum,paraburkholderia_agricolaris
THA1173,Hap7,s_n10r__va1_d_1,mountain_lake_va,37.37576692,-80.52266117,5/10/19,1,no,dictyostelium_discoideum,paraburkholderia_agricolaris
