"phylogenetic.vector","geographic.vector"
0,0
0.00142931,672006.325265715
0.00802449,1098033.01291584
0.00937855,1238488.99628649
0.0120803,1202004.54899202
0.01069149,1142027.23489624
0.00792562,947078.429093078
0.01253205,0
0.0094873,0
0.01097397,403203.795159429
0.02515316,0
0.02362423,0
0.02543809,0
0.03168441,0
0.03510754,0
0.01661652,0
0.02007841,1098033.01291584
0.01505519,1098033.01291584
0.02655729,1202004.54899202
0.04304379,1000298.75245393
0.00142931,672006.325265715
0,0
0.0066305,443283.463724649
0.00798456,566583.316167198
0.01068631,534508.366780553
0.0092975,497553.683065041
0.00653163,299782.601851829
0.01113806,672006.325265715
0.00809331,672006.325265715
0.00957998,268802.530106286
0.02375917,672006.325265715
0.02223024,672006.325265715
0.0240441,672006.325265715
0.03029042,672006.325265715
0.03371355,672006.325265715
0.01522253,672006.325265715
0.01868442,443283.463724649
0.0136612,443283.463724649
0.0251633,534508.366780553
0.0416498,353087.92836557
0.00802449,1098033.01291584
0.0066305,443283.463724649
0,0
0.00830068,207152.077728746
0.01100243,128277.94850449
0.00961362,65889.2526873763
0.00684775,151111.873795675
0.01145418,1098033.01291584
0.00840943,1098033.01291584
0.0098961,705183.283401126
0.02407529,1098033.01291584
0.02254636,1098033.01291584
0.02436022,1098033.01291584
0.03060654,1098033.01291584
0.03402967,1098033.01291584
0.01553865,1098033.01291584
0.01900054,0
0.01397732,0
0.02547942,128277.94850449
0.04196592,99150.0337989984
0.00937855,1238488.99628649
0.00798456,566583.316167198
0.00830068,207152.077728746
0,0
0.00617427,87534.0717582262
0.00478546,228519.727970731
0.00505631,327211.043009916
0.00966274,1238488.99628649
0.00661799,1238488.99628649
0.00810466,835345.588214915
0.02228385,1238488.99628649
0.02075492,1238488.99628649
0.02256878,1238488.99628649
0.0288151,1238488.99628649
0.03223823,1238488.99628649
0.01374721,1238488.99628649
0.0172091,207152.077728746
0.01218588,207152.077728746
0.02368798,87534.0717582262
0.04017448,288669.019269425
0.0120803,1202004.54899202
0.01068631,534508.366780553
0.01100243,128277.94850449
0.00617427,87534.0717582262
0,0
0.00143325,141226.559481406
0.00775806,266311.435496284
0.01236449,1202004.54899202
0.00931974,1202004.54899202
0.01080641,801506.83966514
0.0249856,1202004.54899202
0.02345667,1202004.54899202
0.02527053,1202004.54899202
0.03151685,1202004.54899202
0.03493998,1202004.54899202
0.01644896,1202004.54899202
0.01991085,128277.94850449
0.01488763,128277.94850449
0.02638973,0
0.04287623,220547.556495231
0.01069149,1142027.23489624
0.0092975,497553.683065041
0.00961362,65889.2526873763
0.00478546,228519.727970731
0.00143325,141226.559481406
0,0
0.00636925,198725.514916841
0.01097568,1142027.23489624
0.00793093,1142027.23489624
0.0094176,755343.103797522
0.02359679,1142027.23489624
0.02206786,1142027.23489624
0.02388172,1142027.23489624
0.03012804,1142027.23489624
