symbiont,amoeba species,taxonomy,biological_replicate,technical_replicate,burk_colonies,Kp_colonies,adj_burk,adj_kp,distance_from_discoideum
hayleyella,gig,Dictyostelium_giganteum,gig1,1,0,0,0,0,0.04915635
hayleyella,gig,Dictyostelium_giganteum,gig1,2,0,0,0,0,0.04915635
hayleyella,gig,Dictyostelium_giganteum,gig1,3,0,0,0,0,0.04915635
hayleyella,gig,Dictyostelium_giganteum,gig2,1,0,0,0,0,0.04915635
hayleyella,gig,Dictyostelium_giganteum,gig2,2,0,0,0,0,0.04915635
hayleyella,gig,Dictyostelium_giganteum,gig2,3,287,6,3.457831325,0.072289157,0.04915635
hayleyella,gig,Dictyostelium_giganteum,gig3,1,0,0,0,0,0.04915635
hayleyella,gig,Dictyostelium_giganteum,gig3,2,0,2,0,0.083333333,0.04915635
hayleyella,gig,Dictyostelium_giganteum,gig3,3,0,1,0,0.041666667,0.04915635
hayleyella,gig,Dictyostelium_giganteum,gig4,1,0,2,0,0.043478261,0.04915635
hayleyella,gig,Dictyostelium_giganteum,gig4,2,0,4,0,0.086956522,0.04915635
hayleyella,gig,Dictyostelium_giganteum,gig4,3,1308,8,28.43478261,0.173913043,0.04915635
hayleyella,purp,Dictyostelium_purpureum,purp1,1,0,1,0,0.1,0.18514417
hayleyella,purp,Dictyostelium_purpureum,purp1,2,0,2,0,0.2,0.18514417
hayleyella,purp,Dictyostelium_purpureum,purp1,3,0,1,0,0.1,0.18514417
hayleyella,purp,Dictyostelium_purpureum,purp2,1,40,2,0.833333333,0.041666667,0.18514417
hayleyella,purp,Dictyostelium_purpureum,purp2,2,32,1,0.666666667,0.020833333,0.18514417
hayleyella,purp,Dictyostelium_purpureum,purp2,3,22,0,0.458333333,0,0.18514417
hayleyella,purp,Dictyostelium_purpureum,purp3,1,90,0,1.730769231,0,0.18514417
hayleyella,purp,Dictyostelium_purpureum,purp3,2,168,0,3.230769231,0,0.18514417
hayleyella,purp,Dictyostelium_purpureum,purp3,3,178,7,3.423076923,0.134615385,0.18514417
hayleyella,purp,Dictyostelium_purpureum,purp4,1,0,0,0,0,0.18514417
hayleyella,purp,Dictyostelium_purpureum,purp4,2,101,0,1.980392157,0,0.18514417
hayleyella,purp,Dictyostelium_purpureum,purp4,3,124,4,2.431372549,0.078431373,0.18514417
hayleyella,cit,Dictyostelium_citrinum,cit1,1,0,91,0,7.583333333,0.0294996
hayleyella,cit,Dictyostelium_citrinum,cit1,2,0,96,0,8,0.0294996
hayleyella,cit,Dictyostelium_citrinum,cit1,3,0,83,0,6.916666667,0.0294996
hayleyella,cit,Dictyostelium_citrinum,cit2,1,0,118,0,13.11111111,0.0294996
hayleyella,cit,Dictyostelium_citrinum,cit2,2,8,117,0.888888889,13,0.0294996
hayleyella,cit,Dictyostelium_citrinum,cit2,3,1,126,0.111111111,14,0.0294996
hayleyella,cit,Dictyostelium_citrinum,cit3,1,0,25,0,0.892857143,0.0294996
hayleyella,cit,Dictyostelium_citrinum,cit3,2,0,24,0,0.857142857,0.0294996
hayleyella,cit,Dictyostelium_citrinum,cit3,3,0,16,0,0.571428571,0.0294996
hayleyella,cit,Dictyostelium_citrinum,cit4,1,18,6,2.25,0.75,0.0294996
hayleyella,cit,Dictyostelium_citrinum,cit4,2,4,10,0.5,1.25,0.0294996
hayleyella,cit,Dictyostelium_citrinum,cit4,3,7,8,0.875,1,0.0294996
hayleyella,disc,Dictyostelium_discoideum,disc1,1,684,455,68.4,45.5,0
hayleyella,disc,Dictyostelium_discoideum,disc1,2,977,449,97.7,44.9,0
