"","dicty.species.id","prevalence","phylogenetic_diversity"
"1","cavenderia_aureostipes",0,NA
"2","dictyostelium_citrinum",0.153846153846154,2.222e-05
"3","dictyostelium_discoideum",0.224489795918367,0.0540126
"4","dictyostelium_giganteum",0.00881057268722467,0.02193775
"5","dictyostelium_mucoroides",0.00970873786407767,0.00156259
"6","dictyostelium_purpureum",0.0367647058823529,0.04907427
"7","dictyostelium_unclassified",0.0227272727272727,0.05238359
"8","heterostelium_pallidum",0.0153452685421995,0.04902215
"9","polysphondylium_violaceum",0.051948051948052,0.04260188
"10","raperostelium_lacteum",0,NA
"11","raperostelium_minutum",0,NA
