date,taxonomy,species,clone,rep,infect,rfpper,total_spore,spore_norm_kp,confident,distance_from_discoideum
2/3/21,Cavenderia_aureostipes,cavenderia,Cav1,1,B11,1.1,147777380,1.483260678,1,103.2428412
2/17/21,Cavenderia_aureostipes,cavenderia,Cav1,2,B11,4.6,55057080,0.456468004,1,103.2428412
2/17/21,Cavenderia_aureostipes,cavenderia,Cav1,3,B11,5.4,34842600,1.090965451,1,103.2428412
3/3/21,Cavenderia_aureostipes,cavenderia,Cav1,4,B11,0.2,42589980,1.366895627,1,103.2428412
2/3/21,Cavenderia_aureostipes,cavenderia,Cav1,1,B70,1.6,127908000,1.283829141,1,103.2428412
2/17/21,Cavenderia_aureostipes,cavenderia,Cav1,2,B70,3.3,75419760,0.625291194,1,103.2428412
2/17/21,Cavenderia_aureostipes,cavenderia,Cav1,3,B70,5.1,41878400,1.311265162,1,103.2428412
3/3/21,Cavenderia_aureostipes,cavenderia,Cav1,4,B70,2.8,39702220,1.274214989,1,103.2428412
2/3/21,Cavenderia_aureostipes,cavenderia,Cav1,1,B859,10.8,52106700,0.523001688,1,103.2428412
2/17/21,Cavenderia_aureostipes,cavenderia,Cav1,2,B859,5.7,75600880,0.626792826,1,103.2428412
3/3/21,Cavenderia_aureostipes,cavenderia,Cav1,3,B859,1.9,33331880,1.069763382,1,103.2428412
3/17/21,Cavenderia_aureostipes,cavenderia,Cav1,4,B859,21.4,5452400,0.04686497,1,103.2428412
2/3/21,Cavenderia_aureostipes,cavenderia,Cav1,1,KP,0.1,99630080,1,1,103.2428412
2/17/21,Cavenderia_aureostipes,cavenderia,Cav1,2,KP,2.8,120615420,1,0,103.2428412
3/3/21,Cavenderia_aureostipes,cavenderia,Cav1,3,KP,1.2,31158180,1,1,103.2428412
3/17/21,Cavenderia_aureostipes,cavenderia,Cav1,4,KP,0.5,116342760,1,1,103.2428412
3/30/21,Cavenderia_aureostipes,cavenderia,Cav2,2,B11,0.9,11588900,1.367596107,1,103.2428412
3/30/21,Cavenderia_aureostipes,cavenderia,Cav2,3,B11,31.3,2229120,0.18094329,1,103.2428412
4/6/21,Cavenderia_aureostipes,cavenderia,Cav2,4,B11,5.9,20255400,0.151279641,1,103.2428412
4/6/21,Cavenderia_aureostipes,cavenderia,Cav2,5,B11,3.1,115224740,0.567769539,1,103.2428412
4/14/21,Cavenderia_aureostipes,cavenderia,Cav2,6,B11,30.8,21574700,0.406304426,1,103.2428412
3/30/21,Cavenderia_aureostipes,cavenderia,Cav2,1,B70,7.7,4015920,0.615253567,1,103.2428412
3/30/21,Cavenderia_aureostipes,cavenderia,Cav2,2,B70,7.6,22310800,2.63287829,1,103.2428412
