amoeba_species,passage,replicate,percent_spots_positive,symbiont
Dictyostelium_giganteum,1,1,100,bonniea
Dictyostelium_giganteum,1,2,100,bonniea
Dictyostelium_giganteum,1,3,100,bonniea
Dictyostelium_purpureum,1,1,100,bonniea
Dictyostelium_purpureum,1,2,100,bonniea
Dictyostelium_purpureum,1,3,100,bonniea
Dictyostelium_citrinum,1,1,100,bonniea
Dictyostelium_citrinum,1,2,100,bonniea
Dictyostelium_citrinum,1,3,100,bonniea
Dictyostelium_discoideum,1,1,100,bonniea
Dictyostelium_discoideum,1,2,100,bonniea
Dictyostelium_discoideum,1,3,100,bonniea
Polysphondylium_violaceum,1,1,100,bonniea
Polysphondylium_violaceum,1,2,100,bonniea
Polysphondylium_violaceum,1,3,100,bonniea
Cavenderia_aureostipes,1,1,100,bonniea
Cavenderia_aureostipes,1,2,100,bonniea
Cavenderia_aureostipes,1,3,100,bonniea
Dictyostelium_giganteum,2,1,100,bonniea
Dictyostelium_giganteum,2,2,100,bonniea
Dictyostelium_giganteum,2,3,100,bonniea
Dictyostelium_purpureum,2,1,100,bonniea
Dictyostelium_purpureum,2,2,100,bonniea
Dictyostelium_purpureum,2,3,100,bonniea
Dictyostelium_citrinum,2,1,100,bonniea
Dictyostelium_citrinum,2,2,100,bonniea
Dictyostelium_citrinum,2,3,100,bonniea
Dictyostelium_discoideum,2,1,100,bonniea
Dictyostelium_discoideum,2,2,100,bonniea
Dictyostelium_discoideum,2,3,100,bonniea
Polysphondylium_violaceum,2,1,100,bonniea
Polysphondylium_violaceum,2,2,100,bonniea
Polysphondylium_violaceum,2,3,100,bonniea
Cavenderia_aureostipes,2,1,100,bonniea
Cavenderia_aureostipes,2,2,100,bonniea
Cavenderia_aureostipes,2,3,100,bonniea
Dictyostelium_giganteum,3,1,100,bonniea
Dictyostelium_giganteum,3,2,100,bonniea
Dictyostelium_giganteum,3,3,100,bonniea
Dictyostelium_purpureum,3,1,100,bonniea
Dictyostelium_purpureum,3,2,100,bonniea
Dictyostelium_purpureum,3,3,100,bonniea
Dictyostelium_citrinum,3,1,100,bonniea
Dictyostelium_citrinum,3,2,100,bonniea
Dictyostelium_citrinum,3,3,100,bonniea
Dictyostelium_discoideum,3,1,100,bonniea
Dictyostelium_discoideum,3,3,100,bonniea
Polysphondylium_violaceum,3,1,100,bonniea
Polysphondylium_violaceum,3,2,100,bonniea
Polysphondylium_violaceum,3,3,100,bonniea
Cavenderia_aureostipes,3,1,100,bonniea
Cavenderia_aureostipes,3,2,100,bonniea
Cavenderia_aureostipes,3,3,100,bonniea
Dictyostelium_giganteum,1,1,100,hayleyella
Dictyostelium_giganteum,1,2,100,hayleyella
Dictyostelium_giganteum,1,3,100,hayleyella
Dictyostelium_giganteum,1,4,100,hayleyella
Dictyostelium_purpureum,1,1,100,hayleyella
Dictyostelium_purpureum,1,2,100,hayleyella
Dictyostelium_purpureum,1,3,100,hayleyella
Dictyostelium_purpureum,1,4,100,hayleyella
Dictyostelium_citrinum,1,1,100,hayleyella
Dictyostelium_citrinum,1,2,100,hayleyella
Dictyostelium_citrinum,1,3,100,hayleyella
Dictyostelium_citrinum,1,4,100,hayleyella
Dictyostelium_discoideum,1,1,100,hayleyella
Dictyostelium_discoideum,1,2,100,hayleyella
Dictyostelium_discoideum,1,3,100,hayleyella
Dictyostelium_discoideum,1,4,100,hayleyella
Polysphondylium_violaceum,1,1,100,hayleyella
Polysphondylium_violaceum,1,2,100,hayleyella
Polysphondylium_violaceum,1,3,100,hayleyella
Polysphondylium_violaceum,1,4,100,hayleyella
Cavenderia_aureostipes,1,1,100,hayleyella
Cavenderia_aureostipes,1,2,100,hayleyella
Cavenderia_aureostipes,1,3,100,hayleyella
Cavenderia_aureostipes,1,4,100,hayleyella
Dictyostelium_giganteum,2,1,90,hayleyella
Dictyostelium_giganteum,2,2,100,hayleyella
Dictyostelium_giganteum,2,3,100,hayleyella
Dictyostelium_giganteum,2,4,100,hayleyella
Dictyostelium_purpureum,2,1,100,hayleyella
Dictyostelium_purpureum,2,2,100,hayleyella
Dictyostelium_purpureum,2,3,100,hayleyella
Dictyostelium_purpureum,2,4,100,hayleyella
Dictyostelium_citrinum,2,1,100,hayleyella
Dictyostelium_citrinum,2,2,100,hayleyella
Dictyostelium_citrinum,2,3,100,hayleyella
Dictyostelium_citrinum,2,4,100,hayleyella
Dictyostelium_discoideum,2,1,100,hayleyella
Dictyostelium_discoideum,2,2,100,hayleyella
Dictyostelium_discoideum,2,3,100,hayleyella
Dictyostelium_discoideum,2,4,100,hayleyella
Polysphondylium_violaceum,2,1,100,hayleyella
Polysphondylium_violaceum,2,2,100,hayleyella
Polysphondylium_violaceum,2,3,100,hayleyella
Polysphondylium_violaceum,2,4,100,hayleyella
Cavenderia_aureostipes,2,1,100,hayleyella
Cavenderia_aureostipes,2,2,100,hayleyella
Cavenderia_aureostipes,2,3,100,hayleyella
Cavenderia_aureostipes,2,4,100,hayleyella
Dictyostelium_giganteum,3,1,100,hayleyella
Dictyostelium_giganteum,3,2,100,hayleyella
Dictyostelium_giganteum,3,3,100,hayleyella
Dictyostelium_giganteum,3,4,100,hayleyella
Dictyostelium_purpureum,3,1,100,hayleyella
Dictyostelium_purpureum,3,2,90,hayleyella
Dictyostelium_purpureum,3,3,100,hayleyella
Dictyostelium_purpureum,3,4,100,hayleyella
Dictyostelium_citrinum,3,1,100,hayleyella
Dictyostelium_citrinum,3,2,100,hayleyella
Dictyostelium_citrinum,3,3,100,hayleyella
Dictyostelium_citrinum,3,4,100,hayleyella
Dictyostelium_discoideum,3,1,100,hayleyella
Dictyostelium_discoideum,3,2,100,hayleyella
Dictyostelium_discoideum,3,3,100,hayleyella
Dictyostelium_discoideum,3,4,100,hayleyella
Polysphondylium_violaceum,3,1,100,hayleyella
Polysphondylium_violaceum,3,2,100,hayleyella
Polysphondylium_violaceum,3,3,100,hayleyella
Polysphondylium_violaceum,3,4,100,hayleyella
Cavenderia_aureostipes,3,1,100,hayleyella
Cavenderia_aureostipes,3,2,100,hayleyella
Cavenderia_aureostipes,3,3,100,hayleyella
Cavenderia_aureostipes,3,4,100,hayleyella
Dictyostelium_giganteum,1,1,100,agricolaris
Dictyostelium_giganteum,1,2,100,agricolaris
Dictyostelium_giganteum,1,3,100,agricolaris
Dictyostelium_giganteum,1,4,100,agricolaris
Dictyostelium_purpureum,1,1,100,agricolaris
Dictyostelium_purpureum,1,2,100,agricolaris
Dictyostelium_purpureum,1,3,100,agricolaris
Dictyostelium_purpureum,1,4,100,agricolaris
Dictyostelium_citrinum,1,1,100,agricolaris
Dictyostelium_citrinum,1,2,100,agricolaris
Dictyostelium_citrinum,1,3,100,agricolaris
Dictyostelium_citrinum,1,4,100,agricolaris
Dictyostelium_discoideum,1,1,100,agricolaris
Dictyostelium_discoideum,1,2,100,agricolaris
