taxonomy,species,infect,rfpper,distance_from_discoideum
Cavenderia_aureostipes,Cavenderia,B11,1.1,103.2428412
Cavenderia_aureostipes,Cavenderia,B11,4.6,103.2428412
Cavenderia_aureostipes,Cavenderia,B11,5.4,103.2428412
Cavenderia_aureostipes,Cavenderia,B11,0.2,103.2428412
Cavenderia_aureostipes,Cavenderia,B70,1.6,103.2428412
Cavenderia_aureostipes,Cavenderia,B70,3.3,103.2428412
Cavenderia_aureostipes,Cavenderia,B70,5.1,103.2428412
Cavenderia_aureostipes,Cavenderia,B70,2.8,103.2428412
Cavenderia_aureostipes,Cavenderia,B859,10.8,103.2428412
Cavenderia_aureostipes,Cavenderia,B859,5.7,103.2428412
Cavenderia_aureostipes,Cavenderia,B859,1.9,103.2428412
Cavenderia_aureostipes,Cavenderia,B859,21.4,103.2428412
Cavenderia_aureostipes,Cavenderia,KP,0.1,103.2428412
Cavenderia_aureostipes,Cavenderia,KP,2.8,103.2428412
Cavenderia_aureostipes,Cavenderia,KP,1.2,103.2428412
Cavenderia_aureostipes,Cavenderia,KP,0.5,103.2428412
Cavenderia_aureostipes,Cavenderia,B11,11,103.2428412
Cavenderia_aureostipes,Cavenderia,B11,0.9,103.2428412
Cavenderia_aureostipes,Cavenderia,B11,31.3,103.2428412
Cavenderia_aureostipes,Cavenderia,B11,5.9,103.2428412
Cavenderia_aureostipes,Cavenderia,B11,3.1,103.2428412
Cavenderia_aureostipes,Cavenderia,B11,30.8,103.2428412
Cavenderia_aureostipes,Cavenderia,B70,7.7,103.2428412
Cavenderia_aureostipes,Cavenderia,B70,7.6,103.2428412
Cavenderia_aureostipes,Cavenderia,B70,4.8,103.2428412
Cavenderia_aureostipes,Cavenderia,B70,7.4,103.2428412
Cavenderia_aureostipes,Cavenderia,B70,4.9,103.2428412
Cavenderia_aureostipes,Cavenderia,B859,31.3,103.2428412
Cavenderia_aureostipes,Cavenderia,B859,58,103.2428412
Cavenderia_aureostipes,Cavenderia,B859,33.4,103.2428412
Cavenderia_aureostipes,Cavenderia,B859,40,103.2428412
Cavenderia_aureostipes,Cavenderia,B859,38.5,103.2428412
Cavenderia_aureostipes,Cavenderia,KP,12.1,103.2428412
Cavenderia_aureostipes,Cavenderia,KP,1.4,103.2428412
Cavenderia_aureostipes,Cavenderia,KP,0.5,103.2428412
Cavenderia_aureostipes,Cavenderia,KP,0.9,103.2428412
Cavenderia_aureostipes,Cavenderia,KP,0.5,103.2428412
Cavenderia_aureostipes,Cavenderia,KP,31,103.2428412
Dictyostelium_citrinum,citrinum,B11,15.3,0.0294996
Dictyostelium_citrinum,citrinum,B11,48.5,0.0294996
Dictyostelium_citrinum,citrinum,B11,29.1,0.0294996
Dictyostelium_citrinum,citrinum,B11,43.1,0.0294996
Dictyostelium_citrinum,citrinum,B70,1.4,0.0294996
Dictyostelium_citrinum,citrinum,B70,0.3,0.0294996
Dictyostelium_citrinum,citrinum,B70,7.6,0.0294996
Dictyostelium_citrinum,citrinum,B70,1.9,0.0294996
Dictyostelium_citrinum,citrinum,B70,0.9,0.0294996
Dictyostelium_citrinum,citrinum,B859,82.2,0.0294996
Dictyostelium_citrinum,citrinum,B859,63.3,0.0294996
Dictyostelium_citrinum,citrinum,B859,92.3,0.0294996
