taxonomy,Species,Bacteria,totalspore,distance_from_discoideum
Cavenderia_aureostipes,Cavenderia,B11,147777380,103.2428412
Cavenderia_aureostipes,Cavenderia,B11,55057080,103.2428412
Cavenderia_aureostipes,Cavenderia,B11,34842600,103.2428412
Cavenderia_aureostipes,Cavenderia,B11,42589980,103.2428412
Cavenderia_aureostipes,Cavenderia,B70,127908000,103.2428412
Cavenderia_aureostipes,Cavenderia,B70,75419760,103.2428412
Cavenderia_aureostipes,Cavenderia,B70,41878400,103.2428412
Cavenderia_aureostipes,Cavenderia,B70,39702220,103.2428412
Cavenderia_aureostipes,Cavenderia,B859,52106700,103.2428412
Cavenderia_aureostipes,Cavenderia,B859,75600880,103.2428412
Cavenderia_aureostipes,Cavenderia,B859,33331880,103.2428412
Cavenderia_aureostipes,Cavenderia,B859,5452400,103.2428412
Cavenderia_aureostipes,Cavenderia,KP,99630080,103.2428412
Cavenderia_aureostipes,Cavenderia,KP,120615420,103.2428412
Cavenderia_aureostipes,Cavenderia,KP,31937400,103.2428412
Cavenderia_aureostipes,Cavenderia,KP,31158180,103.2428412
Cavenderia_aureostipes,Cavenderia,KP,116342760,103.2428412
Cavenderia_aureostipes,Cavenderia,B11,145936000,103.2428412
Cavenderia_aureostipes,Cavenderia,B11,11588900,103.2428412
Cavenderia_aureostipes,Cavenderia,B11,2229120,103.2428412
Cavenderia_aureostipes,Cavenderia,B11,20255400,103.2428412
Cavenderia_aureostipes,Cavenderia,B11,115224740,103.2428412
Cavenderia_aureostipes,Cavenderia,B11,21574700,103.2428412
Cavenderia_aureostipes,Cavenderia,B589,90625920,103.2428412
Cavenderia_aureostipes,Cavenderia,B589,20043000,103.2428412
Cavenderia_aureostipes,Cavenderia,B70,4015920,103.2428412
Cavenderia_aureostipes,Cavenderia,B70,22310800,103.2428412
Cavenderia_aureostipes,Cavenderia,B70,15305100,103.2428412
Cavenderia_aureostipes,Cavenderia,B70,43572700,103.2428412
Cavenderia_aureostipes,Cavenderia,B70,3215520,103.2428412
Cavenderia_aureostipes,Cavenderia,B859,16875800,103.2428412
Cavenderia_aureostipes,Cavenderia,B859,118783200,103.2428412
Cavenderia_aureostipes,Cavenderia,B859,59353800,103.2428412
Cavenderia_aureostipes,Cavenderia,KP,6527260,103.2428412
Cavenderia_aureostipes,Cavenderia,KP,8473920,103.2428412
Cavenderia_aureostipes,Cavenderia,KP,12319440,103.2428412
Cavenderia_aureostipes,Cavenderia,KP,133893760,103.2428412
Cavenderia_aureostipes,Cavenderia,KP,202942800,103.2428412
Cavenderia_aureostipes,Cavenderia,KP,53099840,103.2428412
Dictyostelium_citrinum,citrinum,B11,2147200,0.0294996
Dictyostelium_citrinum,citrinum,B11,6315400,0.0294996
Dictyostelium_citrinum,citrinum,B11,991800,0.0294996
Dictyostelium_citrinum,citrinum,B11,42264600,0.0294996
Dictyostelium_citrinum,citrinum,B70,124768160,0.0294996
Dictyostelium_citrinum,citrinum,B70,148546800,0.0294996
Dictyostelium_citrinum,citrinum,B70,38053680,0.0294996
Dictyostelium_citrinum,citrinum,B70,85477920,0.0294996
Dictyostelium_citrinum,citrinum,B70,136844920,0.0294996
Dictyostelium_citrinum,citrinum,B859,70711520,0.0294996
Dictyostelium_citrinum,citrinum,B859,116376260,0.0294996
Dictyostelium_citrinum,citrinum,B859,18179520,0.0294996
Dictyostelium_citrinum,citrinum,B859,90299840,0.0294996
Dictyostelium_citrinum,citrinum,B859,329796620,0.0294996
Dictyostelium_citrinum,citrinum,KP,171945840,0.0294996
Dictyostelium_citrinum,citrinum,KP,101463000,0.0294996
Dictyostelium_citrinum,citrinum,KP,122450240,0.0294996
Dictyostelium_citrinum,citrinum,KP,66746320,0.0294996
Dictyostelium_citrinum,citrinum,KP,152297400,0.0294996
Dictyostelium_citrinum,citrinum,KP,322343760,0.0294996
