sample-id,soil-collection-id,location,sublocation,latitude,longitude,soil-collection-date,dicty-pcr,dicty-sequence,dicty-species-id,dicty-haplotype,burkholderia-lepa-pcr,burkholderia-sequence-id
THA207,mm8c-2,mt_magazine,mt_magazine,35.16762346,-93.64491324,12/26/17,1,no,dictyostelium_giganteum,NA,0,NA
THA208,mm10b-2,mt_magazine,mt_magazine,35.16762346,-93.64491324,12/26/17,1,yes,dictyostelium_giganteum,NA,1,pandoraea_fibrosis
THA209,mm2b-2,mt_magazine,mt_magazine,35.16762346,-93.64491324,12/26/17,1,no,dictyostelium_giganteum,NA,0,NA
THA210,mm6b-1,mt_magazine,mt_magazine,35.16762346,-93.64491324,12/26/17,1,yes,dictyostelium_giganteum,NA,0,NA
THA213,mm8a-1,mt_magazine,mt_magazine,35.16762346,-93.64491324,12/26/17,1,yes,dictyostelium_giganteum,NA,1,pandoraea_fibrosis
THA214,mm8b-3,mt_magazine,mt_magazine,35.16762346,-93.64491324,12/26/17,1,no,dictyostelium_giganteum,NA,1,achromobacter_deleyi
THA215,mm8c-1,mt_magazine,mt_magazine,35.16762346,-93.64491324,12/26/17,1,yes,dictyostelium_giganteum,NA,0,NA
THA216,mm9c-1,mt_magazine,mt_magazine,35.16762346,-93.64491324,12/26/17,1,no,heterostelium_pallidum,NA,1,herbaspirillum_sp_meg3
THA217,mm9a-2,mt_magazine,mt_magazine,35.16762346,-93.64491324,12/26/17,1,no,heterostelium_pallidum,NA,1,herbaspirillum_sp_meg3
THA218,mm9c-3,mt_magazine,mt_magazine,35.16762346,-93.64491324,12/26/17,1,no,heterostelium_pallidum,NA,1,herbaspirillum_sp_meg3
THA219,mm3a-3,mt_magazine,mt_magazine,35.16762346,-93.64491324,12/26/17,1,no,heterostelium_pallidum,NA,1,NA
THA220,mm5c-1,mt_magazine,mt_magazine,35.16762346,-93.64491324,12/26/17,1,yes,heterostelium_pallidum,2,1,pandoraea_fibrosis
